Need,Percentage,Weight
Energy,-30,+30
Hygiene,-39,+39
Hunger,+27,-27
Social,+29,-29
Fun,-26,+26
Energy,-32,+32
Bladder,+55,-55
Social,-55,+55
Fun,-24,+24
Bladder,-30,+30
Social,-44,+44
Fun,-52,+52
Energy,-68,+68
Hunger,-59,+59
Bladder,-42,+42
Energy,+43,-43
Social,+20,-20
Energy,-40,+40
Bladder,+58,-58
Hygiene,+33,-33
Social,+38,-38
Social,+50,-50
Hygiene,+53,-53
Bladder,-24,+24
Hygiene,+68,-68
Fun,+46,-46
Hunger,+64,-64
Hunger,+37,-35
Hunger,-50,+50
Energy,+46,-46
Bladder,-24,+24
Hygiene,-61,+61
Social,-52,+52
Fun,+51,-51
Hygiene,+22,-22
Hunger,-25,+25
Bladder,-54,-54
Fun,-40,+40
Energy,+59,-59
Hunger,-34,+34
Hygiene,-68,+68
Fun,+35,-35
